Length (ft),Length (in),Total Length (ft),Gender,Receipt Amount,Date Caught,Time of Day,Location Caught,Weight (lbs),Species,SFWMDPyMo #
9,4,9.33,Female,$175.00,7/3/2017,19:00,C-111,24.00,Burmese,207
9,1,9.08,Male,$175.00,7/4/2017,3:44,L-28T,16.00,Burmese,210
7,0,7.00,Male,$125.00,7/4/2017,3:50,L-67A,8.00,Burmese,211
11,0,11.00,Male,$225.00,7/4/2017,4:05,L-67A,35.00,Burmese,212
8,4,8.33,Male,$150.00,7/6/2017,3:00,L-28T,30.00,Burmese,216
8,4,8.33,Female,$150.00,7/6/2017,0:15,Rocky Glades,16.00,Burmese,217
8,11,8.92,Male,$175.00,7/5/2017,3:10,L-28T,20.00,Burmese,215
6,9,6.75,Male,$125.00,7/5/2017,23:38,L-67,10.00,Burmese,213
11,7,11.58,Male,$250.00,7/7/2017,23:00,L-357,30.00,Burmese,219
9,6,9.50,Female,$200.00,7/8/2017,23:50,L-28T,24.00,Burmese,224
8,6,8.50,Male,$175.00,7/8/2017,1:00,L-67A,17.00,Burmese,225
9,0,9.00,Male,$175.00,7/7/2017,21:50,L-67A,11.00,Burmese,223
9,0,9.00,Male,$175.00,7/8/2017,2:00,L-67A,10.00,Burmese,230
7,2,7.17,Female,$125.00,7/5/2017,21:30,L-28T,11.00,Burmese,214
7,1,7.08,Female,$125.00,7/7/2017,21:11,Rocky Glades,10.00,Burmese,220
6,6,6.50,Male,$125.00,7/10/2017,1:47,L-28T,10.00,Burmese,232
12,0,12.00,Male,$250.00,7/9/2017,22:15,Rocky Glades,44.00,Burmese,231
14,0,14.00,Female,$300.00,7/8/2017,0:45,L-28T,62.00,Burmese,226
8,6,8.50,Male,$175.00,7/8/2017,1:45,L-28T,17.00,Burmese,227
9,2,9.17,Female,$175.00,7/10/2017,2:00,L-28T,20.00,Burmese,233
4,1,4.08,Male,$50.00,7/10/2017,2:30,L-28T,3.00,Burmese,234
8,6,8.50,Male,$175.00,7/7/2017,2:45,L-67,18.00,Burmese,221
7,6,7.50,Female,$150.00,7/7/2017,1:00,L-28T,13.00,Burmese,222
9,0,9.00,Female,$175.00,7/6/2017,23:50,L-28T,20.00,Burmese,218
2,4,2.33,Female,$50.00,7/10/2017,22:22,L-28T,1.00,Burmese,235
6,10,6.83,Female,$125.00,7/12/2017,0:57,L-31N,9.00,Burmese,239
2,3,2.25,Male,$50.00,7/11/2017,23:00,L-28T,1.00,Burmese,238
3,9,3.75,Female,$50.00,7/3/2017,23:55,C-27,1.00,Burmese,208
4,11,4.92,Female,$75.00,7/13/2017,21:35,C-27,6.00,Burmese,240
12,10,12.83,Female,$275.00,7/14/2017,21:00,Rocky Glades,56.00,Burmese,246
8,6,8.50,Male,$175.00,7/8/2017,2:50,L-67A,16.00,Burmese,228
7,4,7.33,Male,$125.00,7/8/2017,4:00,L-67A,8.00,Burmese,229
